Gender,Early College HS?,HS Rank,GPA at Graduation,Credits Transferred,Cal 1 Final Grade (MATH 1411),Cal 2 Final Grade (MATH 1312),Statics Final Grade (MECH 1321),Chemistry Final Grade (CHEM 1305),degree_completion
1,0,85.0,0.0,21,3,3,0,0,0
1,0,453.0,3.62,36,2,4,4,3,1
1,0,85.0,3.71,75,0,0,0,0,1
0,0,22.0,0.0,31,4,4,3,4,0
1,0,85.0,3.43,57,0,0,4,0,1
1,0,254.0,0.0,0,0,0,0,0,0
1,0,85.0,3.6,96,0,0,0,0,1
1,0,252.0,0.0,6,4,4,0,0,0
1,0,47.0,0.0,9,3,0,0,3,0
1,0,43.0,3.83,6,4,4,2,2,1
1,0,85.0,0.0,51,0,4,0,0,0
1,0,453.0,0.0,0,0,0,0,0,0
1,0,178.0,0.0,0,0,0,0,0,0
1,0,302.0,0.0,0,0,0,0,0,0
1,0,25.0,0.0,6,3,3,0,3,0
1,0,189.0,0.0,0,2,3,0,2,0
0,0,31.0,3.07,75,4,3,2,0,1
1,0,34.0,3.47,15,4,4,3,3,1
1,0,57.0,0.0,0,0,0,0,0,0
0,0,8.0,0.0,27,4,4,4,4,0
1,0,79.0,0.0,9,3,2,3,3,0
1,0,85.0,0.0,57,0,0,0,0,0
1,0,85.0,0.0,61,0,-1,4,0,0
1,1,28.0,0.0,42,0,0,0,-1,0
1,0,85.0,0.0,0,0,0,0,0,0
1,0,85.0,3.09,47,0,4,4,0,1
1,0,85.0,2.76,27,4,4,4,0,1
1,0,85.0,0.0,0,3,0,1,1,0
1,0,548.0,0.0,0,0,0,0,0,0
1,0,85.0,2.81,29,4,0,3,0,1
1,0,85.0,0.0,0,2,2,-1,2,0
1,0,11.0,0.0,18,-1,0,0,0,0
1,0,39.0,3.67,37,4,4,3,0,1
1,0,545.0,0.0,0,0,0,0,0,0
1,0,85.0,0.0,0,0,0,0,0,0
1,0,82.0,0.0,0,0,0,0,0,0
1,1,38.0,3.27,90,0,0,4,3,1
1,0,1.0,4.0,0,4,4,4,4,1
1,0,85.0,2.71,28,0,0,4,0,1
1,1,26.0,3.53,64,4,4,4,0,1
1,0,85.0,0.0,69,0,0,0,0,0
1,0,228.0,0.0,0,0,0,0,0,0
1,0,23.0,3.26,0,0,0,0,0,1
1,0,85.0,3.6,0,4,4,3,2,1
1,0,18.0,3.74,50,0,0,4,0,1
1,0,82.0,0.0,0,4,0,0,0,0
0,1,2.0,3.28,73,0,3,4,3,1
0,0,170.0,0.0,0,0,0,0,0,0
1,0,85.0,0.0,62,0,0,-1,0,0
1,0,85.0,0.0,60,3,3,4,2,0
1,0,16.0,3.73,0,0,0,4,0,1
1,0,85.0,0.0,88,0,-1,4,0,0
1,0,147.0,0.0,0,0,0,0,0,0
0,0,120.0,0.0,0,4,4,4,4,0
1,1,5.0,0.0,63,0,0,0,0,0
1,0,312.0,3.75,69,0,0,0,0,1
1,0,162.0,0.0,0,4,3,2,3,0
1,0,313.0,0.0,82,0,0,0,0,0
1,0,118.0,2.73,90,0,0,0,0,1
1,0,203.0,0.0,9,0,0,0,0,0
1,0,345.0,3.24,68,0,0,0,0,1
1,0,616.0,0.0,0,0,0,0,0,0
1,0,2.0,4.0,0,4,4,4,4,1
1,0,85.0,0.0,51,4,0,0,3,0
1,0,85.0,0.0,0,4,4,4,4,0
1,0,67.0,3.33,0,3,4,4,2,0
1,0,29.0,0.0,7,0,3,4,0,0
0,0,173.0,0.0,43,0,0,0,0,0
1,0,14.0,0.0,0,3,0,0,0,0
1,0,160.0,0.0,66,0,0,0,0,0
1,0,189.0,0.0,34,0,4,4,4,0
1,0,9.0,3.88,23,0,0,3,4,1
1,0,85.0,0.0,0,4,4,4,4,0
0,0,13.0,0.0,31,4,2,1,0,0
0,1,17.0,0.0,51,0,0,2,0,0
1,0,13.0,0.0,28,0,4,4,4,0
1,0,269.0,0.0,0,0,0,0,0,0
1,0,2.0,0.0,18,0,2,0,0,0
1,0,154.0,0.0,0,0,0,0,1,0
0,0,77.0,0.0,6,0,0,0,0,0
1,0,12.0,0.0,24,0,0,0,0,0
1,0,85.0,0.0,49,4,2,-1,0,0
1,0,85.0,3.44,82,0,0,0,0,0
1,0,352.0,0.0,0,0,0,0,0,0
1,0,59.0,0.0,62,0,4,0,3,0
1,0,85.0,0.0,0,2,0,0,0,0
1,0,151.0,0.0,13,0,0,0,0,0
1,0,5.0,0.0,21,0,0,0,3,0
0,0,1.0,0.0,76,0,4,0,4,0
1,0,221.0,3.9,82,0,0,0,0,1
1,0,22.0,0.0,0,0,0,0,0,0
1,0,3.0,3.9,69,4,4,4,4,1
1,1,61.0,0.0,60,0,0,0,0,0
1,1,85.0,0.0,32,0,0,0,0,0
1,0,508.0,0.0,9,4,4,0,3,0
0,0,85.0,0.0,19,0,4,4,4,0
